title,abstract,year,pmid,source,paperId
Metformin triggers apoptosis via endoplasmic reticulum stress in HER2-positive breast cancer cell lines.,"The antidiabetic drug metformin has potential as an anticancer agent, particularly due to its observed efficacy in breast cancer. Metformin exerts its cytotoxic effects in the induction of endoplasmic reticulum (ER) stress, which can trigger apoptotic cell death pathways. Therefore, the present study aimed to investigate the dose-dependent effects of metformin on ER stress and apoptosis in HER2-positive breast cancer SKBR3 cells. For this purpose, SKBR3 cells were treated with 5, 10 and 20 mM metformin. Cell proliferation was assessed using real-time cell analysis, while expression levels of ER stress-associated genes [glucose-regulated protein 78 kDa (GRP78), PRKR-like ER kinase (PERK), inositol-requiring enzyme 1 (IRE1), activating transcription factor 6 (ATF6) and CHOP)] were measured by revese transcription-quantitative PCR. Apoptosis was analyzed by Annexin V-FITC/PI flow cytometry in cells treated with 10 and 20 mM metformin. Findings revealed that metformin (5, 10 and 20 mM) dose-dependently inhibited cell proliferation and activated ER stress pathways. Significant increases were observed in gene expression following treatment with 5, 10 and 20 mM metformin, respectively, including GRP78 (3.70-, 5.06- and 7.33-fold; all P<0.0001) PERK (2.48-, 4.36- and 9.11-fold; all P<0.0001), IRE1 (2.15-fold, P=0.001; 2.90-fold, P<0.001; 5.55-fold, P<0.0001), ATF6 (2.43-2.44- and 3.63-fold; all P<0.0001) and particularly in pro-apoptotic CHOP (3.31-, 27.47- and 49.85-fold; all P<0.0001). Flow cytometry revealed that 10 and 20 mM metformin significantly increased early apoptosis to 6.05% (P<0.001) and 7.28% (P<0.001) and late apoptosis to 13.24% (P<0.001) and 20.59% (P<0.001), respectively, compared with controls (early apoptosis, 0.02%; late apoptosis, 0.05%). The present findings demonstrated that metformin activates ER stress response and induces apoptosis in HER2-positive breast cancer cells in a dose-dependent manner. This supports the potential of metformin as an adjuvant therapy, though further in vivo studies are needed to evaluate its clinical applicability.",2026 Apr,41822189.0,PubMed,
Piperine-induced AMPK activation and cell cycle arrest: insights from molecular simulations and experimental validation in breast cancer.,"Breast cancer remains a leading cause of mortality among women, underscoring the need for novel, low-toxicity therapeutic strategies. Piperine, a bioactive alkaloid derived from Piper nigrum, has shown promising anticancer activity; however, its mechanistic link to AMPK activation remains insufficiently explored. In this study, we investigated the role of AMPK modulation in piperine-induced apoptosis in MCF-7 (luminal A, ER-positive) breast cancer cells by integrating in silico molecular docking and 100 ns molecular dynamics (MD) simulations with comprehensive in vitro validation. Molecular docking revealed that piperine binds at the AMPK alpha-beta interface (ADaM-like site) with a favorable binding affinity (- 6.3 kcal/mol), comparable to the reference AMPK activator metformin (- 6.8 kcal/mol). MD simulations demonstrated stable ligand-protein interactions and conformational stabilization of AMPK over 100 ns. Functionally, piperine exhibited a time-dependent cytotoxic effect with IC(5)(0) values of 81 microM (24 h), 44 microM (48 h), and 15 microM (72 h) as determined by MTT assay. Annexin V-FITC/PI analysis showed significant apoptosis induction, with total apoptotic populations of 37.6 +/- 2.95% at 50 microM and 69.3 +/- 2.85% at 100 microM. Cell cycle analysis revealed a marked arrest at the G2/M phase (~ 20-22%).Additionally, piperine significantly inhibited cancer cell migration, reducing wound closure at 24 h to 29.5 +/- 0.3% (50 microM) and 18.8 +/- 0.2% (100 microM) compared to 45.3 +/- 0.4% in controls, and at 48 h to 48.1 +/- 0.2% and 27.6 +/- 0.3%, respectively (control: 72.4 +/- 0.6%). Collectively, these findings demonstrate that piperine effectively modulates AMPK signaling, correlating with apoptosis induction, cell-cycle arrest, and impaired migratory capacity in breast cancer cells, thereby highlighting its potential as an AMPK-targeting therapeutic candidate for luminal A breast cancer.",2026 Mar 3,41774315.0,PubMed,
Metformin as an immunometabolic modulator in breast cancer: integrating NK and NKT cell responses.,"Breast cancer progression is increasingly recognized as an immunometabolic disorder in which tumor-intrinsic metabolic reprogramming and microenvironmental stress converge to impair innate immune surveillance. Beyond its established role in glycemic control, metformin has emerged as a promising immunometabolic modulator with anticancer potential. Accumulating evidence indicates that metformin suppresses breast tumor growth by targeting key metabolic vulnerabilities, including dysregulated glycolysis, lipid metabolism, and mitochondrial energetics, while simultaneously restoring the functional competence of innate immune effectors, particularly natural killer (NK) and natural killer T (NKT) cells. At the molecular level, metformin engages AMP-activated protein kinase (AMPK)-centered signaling and mitochondrial complex I-associated energetic stress, leading to downstream modulation of mTOR activity, redox balance, autophagy, and RNA-mediated regulatory networks. These coordinated effects reduce tumor cell plasticity and enhance immune permissiveness. Within the tumor microenvironment, metformin attenuates hormone-dependent stromal support, disrupts immunosuppressive myeloid networks, normalizes chemokine and cytokine profiles, and promotes antigen presentation and innate immune cell recruitment. Preclinical studies consistently demonstrate delayed tumor onset, suppression of aggressive breast cancer subtypes, impairment of cancer stem cell maintenance, and reinforcement of NK/NKT-mediated antitumor surveillance following metformin treatment. However, emerging clinical and translational evidence suggests that therapeutic efficacy is context dependent, influenced by tumor molecular subtype, host metabolic status, immune composition, and pathway-specific biomarker engagement. This review critically synthesizes mechanistic, preclinical, and clinical findings to position metformin as a host-directed immunometabolic adjuvant in breast cancer. Integrating insights from metabolism, innate immunology, pharmacology, and biotechnology, this work highlights opportunities for biomarker-guided stratification and rational combination strategies aimed at enhancing NK/NKT-cell-driven antitumor immunity in breast cancer therapy.",2026 Mar,41768419.0,PubMed,
Relationship between breast cancer and metformin: A bibliometric review.,"BACKGROUND: A complex relationship exists between diabetes, particularly type 2 diabetes, and breast cancer. Metformin can help reduce the incidence of cancer and the risk of death in individuals with type 2 diabetes. This study utilized bibliometrics to analyze the potential impact of diabetes drugs on the treatment of breast cancer, aiming to reveal research trends and provide references for future research directions. METHODS: This bibliometric study analyzed the intersection of diabetes, breast cancer, and metformin using data from the Web of Science Core Collection and PubMed (2004-2024). A total of 1080 relevant publications were included. RESULTS: An initial slow growth in publications was noted, followed by a surge starting in 2008. The USA and China led these research efforts, with Goodwin PJ having the highest number of publications. The journal Diabetes Care was the most co-cited, with keywords such as ""breast cancer,"" ""risk,"" ""metformin,"" and ""growth"" frequently appearing. The analysis identified 4036 institutions and 5214 active authors in the field. CONCLUSIONS: Despite growing attention to the role of diabetes medications such as metformin in breast cancer treatment, research remains limited to mechanistic studies and retrospective clinical analyses. The optimal dose for clinical use remains unclear, which highlights the need for further experimental studies. This study provides valuable insights for both academic and clinical research, supporting the potential use of metformin to manage the relationship between diabetes and breast cancer.",2026 Feb 27,41760031.0,PubMed,
WBP2 Attenuates Metformin Response in HER2-Positive Breast Cancer Cells by Repressing AMPK Activation and Inducing a Lower AMP:ATP Ratio State Through Enhanced ATP Production.,"Metformin is an antidiabetic drug that has been tested widely as an anti-cancer agent. However, data from clinical trials have been mixed. Evidence for metformin's efficacy in HER2+ breast cancer exists. Hence, we evaluated whether WBP2, a HER2-coamplified gene, can regulate the response of HER2+ breast cancer to metformin. Identification of biomarkers for predicting metformin response has implications in repurposing metformin for precision oncology. The effect of WBP2 on breast cancer response to metformin was studied using in vitro and mouse models. The mechanism of WBP2 on metformin-induced AMPK activation was elucidated, and its co-expression with p-AMPK was examined in clinical specimens using IHC. RNA-seq analyses were performed to elucidate WBP2's mechanism in energy metabolism. WBP2 inhibited the metformin response of HER2+ breast cancer in vitro and in vivo. These effects were concomitant with WBP2-mediated repression of metformin-induced AMPK activation and mTOR inhibition in HER2+ breast cancer cells, a lower AMP:ATP ratio state, and enhanced glycolytic capacity and mitochondria respiration. Analysis of HER2-positive breast cancer samples supports the negative correlation between WBP2 expression and activated AMPK observed in vitro. RNA-seq analysis revealed the potential mechanism of WBP2 in regulating ATP production processes and preferential effect of WBP2 on metformin response in HER2+ breast cancer. This study reported a novel role of WBP2 in cancer metabolism and energetics that contributes new insights into the molecular etiology of cancer. WBP2 may be a biomarker for patient stratification, paving the way towards repurposing metformin for precision oncology.",2026 Feb 23,41744824.0,PubMed,
Metformin potentiates DSF/Cu-loaded pluronic nanoparticles to improve therapeutic efficacy in triple-negative breast cancer.,"BACKGROUND: Triple-negative breast cancer (TNBC) is an aggressive breast cancer subtype characterized by poor prognosis and resistance to conventional therapies, underscoring the need for novel therapeutic strategies. Drug repurposing has emerged as a promising approach, with disulfiram (DSF) and metformin demonstrating anticancer potential. In addition, nanoparticle (NP)-based drug delivery systems can enhance therapeutic efficacy and tumor selectivity. This study investigates the antitumor effects of a combination therapy using DSF/Cu complex-loaded pluronic-based nanoparticles and metformin in TNBC cells. METHODS: Pluronic-based nanoparticles were synthesized using the thin-film hydration method, and hyaluronic acid (HA) was conjugated to pluronic, as confirmed by H-NMR spectroscopy. Drug-nanoparticle interactions were characterized using FTIR analysis. Drug loading efficiency, release profiles, and cellular uptake were evaluated under acidic and physiological conditions. Cytotoxic effects of free drugs and NP formulations were assessed using the MTT assay, while apoptosis was analyzed by flow cytometry. The expression levels of STAT3, CD24, CD44 and ALDH1 were quantified by real-time PCR. RESULTS: Successful conjugation of HA to pluronic was confirmed by H-NMR, and FTIR analysis verified physical interactions between the drugs and pluronic micelles. Encapsulation efficiencies for DSF and DSF/Cu were 89.5% and 73%, respectively. DSF/Cu-loaded nanoparticles exhibited a faster drug release under acidic conditions compared to physiological pH. NP formulations significantly enhanced cellular uptake and demonstrated a synergistic-like potentiating effect, wherein sub-cytotoxic concentrations of metformin markedly enhanced the anticancer efficacy of DSF/Cu-loaded nanoparticles. Apoptosis assays revealed increased apoptotic cell death with minimal necrosis. Furthermore, real-time PCR analysis showed significant downregulation of STAT3 and stemness-associated gene expression compared to untreated controls. CONCLUSION: Pluronic-based nanoparticles efficiently encapsulate DSF/Cu and enhance its anticancer activity. The combination of metformin with DSF/Cu-loaded nanoparticles significantly inhibits TNBC cell growth and reduces stemness properties. This low-toxicity, metabolism-assisted combination strategy shows strong potential for TNBC treatment and warrants further in vivo investigation. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s12896-026-01113-5.",2026 Feb 23,41731430.0,PubMed,
Therapeutic Switching of Metformin Using Heteroleptic Cu(II) and Zn(II) Complexes: A Combined Experimental and Computational Study.,"Ligands of the antidiabetic drug metformin and the natural flavonoid chrysin were used to synthesize Cu-(II) and Zn-(II) heteroleptic complexes. Metal complexation was used to repurpose metformin against the breast cancer cell line MCF-7. Structural information on the metal complexes was acquired using UV-vis absorption spectroscopy, FTIR, HRMS, TGA/DTA, XRD, SEM-EDX, molar conductance analysis, and time-dependent density functional theory (TDDFT). Accordingly, we proposed that the structure of complex 1 was [Cu-(C(4)H(11)N(5))-(C(15)H(9)O(4))-(C(2)H(3)O(2))], with a square pyramidal geometry, while complex 2 was [Zn-(C(4)H(11)N(5))-(C(15)H(9)O(4))]-C(2)H(3)O(2) and exhibited a tetrahedral geometry. The IC(50) values were 18.93 and 43.31 muM for complexes 1 and 2, respectively, compared to the positive control cisplatin (IC(50) = 18.62 muM). The cancer cells' morphology changed from epithelial to a round shape, and the cell density decreased upon treatment, confirming the potential of the metal complexes to induce apoptosis. Computationally, the biological significance of the metal complexes was inferred from quantum chemical descriptors and molecular docking analysis. The band gap energies of the metal complexes were 2.964 and 3.648 eV for complexes 1 and 2, respectively, compared to those of metformin (5.988 eV) and chrysin (4.403 eV). Moreover, molecular docking simulations against estrogen receptor alpha (ERalpha; PDB: 5GS4) revealed a binding energy of -5.69 kcal mol(-1) and an inhibition constant (K (i)) of 51.37 muM for complex 1, and -6.12 kcal mol(-1) and 30.12 muM, respectively, for complex 2. This work demonstrates the therapeutic switching capability of metformin via metal complexation.",2026 Feb 17,41726635.0,PubMed,
mTOR-driven autophagy suppression defines metabolic vulnerability in CDK4/6 inhibitor-resistant HR(+)/HER2(-) breast cancer.,"Breast cancer (BC) is the most prevalent malignancy in women, with hormone receptor-positive, HER2-negative (HR(+)/HER2(-)) tumors representing ~70% of cases. While CDK4/6 inhibitors (CDK4/6i) combined with endocrine therapy have transformed treatment for metastatic HR(+)/HER2(-) BC, acquired resistance remains a major obstacle. Using HR(+)/HER2(-) BC models with acquired resistance to the CDK4/6 inhibitors Palbociclib or Ribociclib, we uncovered a metabolic vulnerability in highly resistant clones, mediated by mTORC1 hyperactivation and autophagy suppression. Gene expression profiling revealed enrichment of glycolysis and mTORC1 pathways in CDK4/6i-resistant cells, which manifested as heightened sensitivity to the metabolic inhibitors Metformin and Dichloroacetate (DCA). Mechanistically, mTORC1 overactivation impaired autophagy via ULK1-Ser757 phosphorylation, as confirmed by LC3 flux assays, leaving resistant cells unable to adapt to energy stress. Treatment with metabolic drugs triggered AMPK activation, ACC inhibition, and PARP cleavage, culminating in apoptosis. Clinically, immunohistochemical analysis of a BC cohort revealed a significant correlation between mTORC1 activity (p4E-BP1(T37/46)) and autophagy suppression (p62 accumulation), supporting the translational relevance of this axis. Our findings propose mTORC1-mediated autophagy defects as a biomarker for metabolic vulnerability in CDK4/6i-resistant BC, offering a rationale for targeting these tumors with metabolic therapies to overcome resistance.",2026 Feb 19,41714320.0,PubMed,
Single-Mitochondrion ATP Profiling Directs Discovery of Targetable OXPHOS Dependency in Cancers.,"Mitochondrial adenosine triphosphate (mitoATP) serves as the primary bioenergetic currency for oxidative phosphorylation (OXPHOS)-driven malignancies, yet its precise organelle-level quantification remains challenging due to mitochondrial heterogeneity and cytosolic interference. Herein, we report MitoATP-nFCM, a nano-flow cytometry platform enabling single-mitochondrion ATP measurement via simultaneous fluorescence and side scatter detection. We uncover 1.7-1.9-fold higher ATP levels in isolated mitochondria from breast (MCF-7, MDA-MB-231) and colon (HCT-15, HCT-116) cancer cells than in their normal counterparts. Single-organelle analysis further reveals coordinated metabolic reprogramming in cancer mitochondria, featuring elevated membrane potential, increased ATP synthase expression, and reduced hexokinase 2 levels, demonstrating their OXPHOS-dominant bioenergetic phenotype that contrasts with classical Warburg-effect expectations. Furthermore, we establish a screening strategy to identify highly potent cancer-selective inhibitors targeting mitochondrial metabolism. We find that bedaquiline (ATP synthase inhibitor) outperforms oligomycin A in specificity, VLX600 (electron transport chain inhibitor) shows superior selectivity to rotenone/metformin, and CPI-613 (tricarboxylic acid cycle blocker) surpasses other glutaminase inhibitors. MitoATP-nFCM establishes a quantitative single-organelle platform that profiles elevated mitoATP levels in cancer cells and enables precision screening of OXPHOS-targeting inhibitors.",2026 Apr,41684301.0,PubMed,
Impact of type 2 diabetes on malignancies of the female reproductive system.,"Type 2 diabetes mellitus (T2DM) contributes significantly to the development and progression of cancers of the female reproductive tissues, particularly endometrial, ovarian, and breast. Hallmarks of T2DM, such as hyperinsulinemia, insulin resistance, and chronic low-grade inflammation, disrupt endocrine and metabolic homeostasis, promoting carcinogenesis through enhanced mitogenic signaling, hormonal dysregulation, and immune activation. T2DM can alter ovarian, endometrial, and mammary physiology by affecting estrogen/progesterone receptor activity, stromal remodeling, and specialized cell function. Furthermore, give the fluctuations in a woman's hormonal levels and reproductive status, the presence of excess weight and T2DM may have altering risks depending on the lifecycle. These effects are exacerbated by adipose-derived cytokines and leptin resistance, further amplifying estrogens' bioavailability and pro-inflammatory signaling. Endometrial cancer risk is nearly doubled in diabetic women, independent of body mass index, with hyperglycemia inducing PI3K/AKT/mTOR and NF-kappaB pathway activation, reduced sex hormone-binding globulin (SHBG) levels, and upregulation of estrogen receptor signaling. Ovarian cancer in diabetic patients is associated with more aggressive histological subtypes, advanced-stage presentation, and poorer survival, likely driven by Insulin-like growth factor 1 (IGF-1) signaling, oxidative stress, and impaired treatment response. Similarly, T2DM increases the risk and worsens outcomes in breast cancer via enhanced expression, AGE-RAGE interactions, and estrogen-independent ERalpha activation. Herein, we synthesize current epidemiological evidence and mechanistic insights to delineate the multifaceted relationship between T2DM and these cancers. Despite increased risk, diabetic women often face underdiagnosis due to suboptimal screening practices. As T2DM prevalence rises globally, tailored cancer prevention and treatment strategies for diabetic populations are urgently needed. Metformin has shown robust benefits in reducing T2DM-related complications and potential in the antineoplastic setting. This review underscores the endocrine and inflammatory mechanisms linking T2DM to cancers of the female reproductive system and advocates for integrated clinical protocols that include early screening and individualized management in diabetic women.",2026 Apr,41679247.0,PubMed,
Weight Loss Patterns and Clinical Outcomes of GLP1 Receptor Agonists in Breast Cancer Survivors.,"The use of glucagon-like peptide-1 receptor agonists (GLP1-RA) for weight loss is increasing; implications in breast cancer survivors remain unclear. This retrospective cohort study evaluated treatment patterns, weight loss, and outcomes in breast cancer survivors receiving GLP1-RA at an academic institution. We evaluated patients with nonmetastatic [ductal carcinoma in situ (DCIS), stage 1-3] breast cancer who received GLP1-RA (2005-2024). Linear regression models estimated associations between weight change and clinical factors. After excluding DCIS, propensity score matching (1:2) was used to match patients who received GLP1-RA with patients who did not, based on confounding covariates. Kaplan-Meier estimates and log-rank tests compared disease-free survival (DFS) and overall survival (OS) between GLP1-RA users versus nonusers in the subgroup with invasive disease. We identified 1,022 patients; 79% had type 2 diabetes mellitus. The median weight and body mass index at GLP1-RA initiation were 86.8 kg (47.2-175 kg) and 33.5 kg/m2 (18.9-61.8 kg/m2). In semaglutide or tirzepatide users (442, 43.2%), the median weight change at 3, 6, and 12 months after GLP1-RA initiation was -1.9% (-13.2% to 14.9%), -3.1% (-20.2% to 19%), and -2.6% (-27.8% to 11.5%), respectively. Endocrine therapy and metformin use were associated with weight gain and loss, respectively; invasive disease stage was linked to greater weight loss. GLP1-RA was not associated with DFS, but OS significantly differed between GLP1-RA users (n = 810) and nonusers (n = 1,620; hazard ratio, 0.37; 95% confidence interval, 0.27-0.53; P < 0.0001). In conclusion, in this real-world study in breast cancer survivors, GLP1-RA was associated with modest weight loss and improved all-cause survival. Clinical trials are warranted to study GLP1-RA in this population. SIGNIFICANCE: This is the largest study describing real-world patterns of GLP1 receptor agonists in breast cancer survivors. Clinical trials should evaluate these agents for weight management as an adjunct to lifestyle interventions and the potential role in cancer control in breast cancer survivors.",2026 Mar 1,41677473.0,PubMed,
Unraveling AMPK and BET regulation of immune checkpoint biology: implications for personalized medicine.,"Triple negative breast cancer (TNBC) patients with comorbid Type 2 diabetes (T2D) show worse survival compared to nondiabetic TNBC patients. Immune checkpoint blockade (ICB) has unclear benefit in TNBC. Immune suppression in T2D, and use of metformin, an activator of 5' Adenosine Monophosphate-activated Protein Kinase (AMPK), in such patients, prompted us to examine AMPK regulation of immune checkpoint expression. Improved ICB efficacy may optimize outcomes for certain TNBC patients. We have also been exploring the role of Bromodomain and ExtraTerminal domain (BET) proteins (BRD2, BRD3, BRD4) in regulation of checkpoint molecules in immune cell subsets, including CD4+, CD8+ T cells, and NK cells. BET proteins are important transcriptional co-regulators, critical for proliferation and metastasis in many cancer types, including TNBC. We observed differential BET regulation of immune checkpoint proteins, specifically TIM-3, TIGIT, PD-1 and CTLA-4, on alphaCD3/alphaCD28-stimulated peripheral blood mononuclear cells by flow cytometry. Chemical inhibition of AMPK with Compound C, and with the pan-BET inhibitor JQ1 or the BRD4-selective PROTAC inhibitor MZ-1, revealed that BET proteins regulate PD-1 and CTLA-4 through an AMPK-dependent pathway and TIM-3 and TIGIT through an AMPK-independent pathway. Personalized approaches to ICB treatment of TNBC patients with comorbid T2D should improve outcomes.",2026 Jan 27,41659635.0,PubMed,
A robust RNAi nanoplatform for precise activation of cGAS-STING pathway and effective immune checkpoint blockade to potentiate cancer immunotherapy.,"Activation of cyclic guanosine monophosphate-adenosine monophosphate synthase (cGAS)-interferon gene stimulator (STING) pathway has demonstrated significant potential in cancer treatment due to its crucial role in bridging the innate and adaptive immunity. However, clinical attempts of current cGAS-STING activating approaches remain challenged because of their undesired adverse effects and low therapeutic efficacy. We herein developed a new and robust immunostimulatory RNA interfering (RNAi) nanoplatform to potentiate breast cancer (BCa) immunotherapy through precise activation of cGAS-STING pathway and effective immune checkpoint blockade. This nanoplatform comprises the electrostatic complexes of small interfering RNA (siRNA) targeting oncogene coactivator-associated arginine methyltransferase 1 (Carm1) and metformin prodrug. Using orthotopic and metastatic BCa tumors, we demonstrated this nanoplatform could suppress the proliferation of BCa cells via siRNA-mediated Carm1 silencing and down-regulate programmed death-ligand 1 (PD-L1) expression via metformin-mediated ubiquitin-proteasome degradation. More importantly, due to the important role of oncogene Carm1 in repairing damaged double stand DNA (dsDNA), Carm1 silencing could specifically enhance the accumulation of damaged dsDNA and cytosolic release of dsDNA fragments to precisely activate the cGAS-STING pathway in BCa cells, which could thus promote their expression and secretion of interferon-beta (IFN-beta) to induce a significant inhibition of BCa tumor growth via leveraging both the innate and adaptive immunity.",2026 Apr 10,41655906.0,PubMed,
Cardioprotective effects of dapagliflozin against doxorubicin-induced cardiotoxicity in breast cancer patients with type 2 diabetes: a prospective study.,"AIM: This study aimed to evaluate the risk of doxorubicin-induced cardiotoxicity in newly diagnosed breast cancer patients with type 2 diabetes receiving dapagliflozin in addition to metformin, using echocardiographic methods, and to investigate the potential cardioprotective effects of dapagliflozin. MATERIALS AND METHODS: In this prospective observational study, a total of 60 newly diagnosed breast cancer patients with type 2 diabetes were enrolled. Thirty patients who had been treated with metformin and subsequently received dapagliflozin in addition to metformin during doxorubicin therapy constituted the dapagliflozin group. The non-dapagliflozin group consisted of 30 patients who, while continuing metformin, were initiated on another oral antidiabetic agent (excluding dapagliflozin) alongside doxorubicin therapy. N-terminal pro-B type natriuretic peptide (NT-proBNP), left ventricular ejection fraction (LVEF), and left ventricular global longitudinal strain (LVGLS) were measured at baseline and at the 3rd month of treatment. Between-group baseline characteristics were compared using the independent samples t-test for continuous variables. Within-group changes from baseline to 3 months were analyzed with paired t-tests. Between-group comparisons of 3-month outcomes and changes (DeltaLVEF, DeltaLVGLS, DeltaNT-proBNP) were also conducted using independent samples t-tests. To evaluate the independent effect of dapagliflozin on LVGLS, multivariable linear regression analysis was performed. Model fit was reported with adjusted R(2), F-statistics and 95% confidence intervals. RESULTS: In the non-dapagliflozin group, LVEF and NT-proBNP levels showed no significant differences between baseline and post-treatment; however, LVGLS values significantly deteriorated. In contrast, the dapagliflozin group demonstrated a significant increase in LVEF (- 2.000 [95% CI - 2.392, - 1.608]) and LVGLS (+ 1.367 [95% CI + 1.159, + 1.574]), as well as a marked reduction in NT-proBNP levels (+ 64.933 [95% CI + 57.902, + 71.964]) after 3 months of treatment (p < 0.001). At the third month, the dapagliflozin group exhibited significantly better LVGLS (+ 2.133 [95% CI + 1.346, + 2.921]) and lower NT-proBNP levels (+ 57.000 [95% CI + 28.302, + 85.698]) compared with the non-dapagliflozin group (p < 0.001). Multivariable linear regression analysis confirmed that dapagliflozin use was independently associated with significant improvement in LVGLS at 3 months. CONCLUSION: In conclusion, dapagliflozin was associated with more favorable short-term surrogate changes in LVGLS and NT-proBNP during doxorubicin therapy. The favorable changes observed in LVEF, LVGLS, and NT-proBNP parameters suggest that dapagliflozin may be considered a potential cardioprotective agent and incorporated into preventive strategies against chemotherapy-related cardiotoxicity in diabetic patients. These hypothesis-generating findings require confirmation in larger randomized trials powered for clinical endpoints with longer follow-up. CLINICAL TRIAL REGISTRATION: Not applicable.",2026 Feb 7,41654775.0,PubMed,
"GLP-1 RA initiation versus metformin and risk of cardiomyopathy in patients with cancer and diabetes treated with chemotherapy, radiation, or immunotherapy: a target trial emulation.","AIMS: Glucagon-like peptide-1 receptor agonists (GLP-1 RA) have demonstrated cardioprotective effects; however, their association with cardiomyopathy remains unclear among patients with cancer and type 2 diabetes mellitus (T2D) treated with chemotherapy, radiation, or immunotherapy. We evaluated whether GLP-1 RA initiation reduces cardiomyopathy risk compared with metformin. METHODS: We conducted a retrospective cohort study using a target trial emulation framework within a large global electronic health record database. Adults aged 18-75 years with cancer and T2D, and prior exposure to chemotherapy, radiation, or immunotherapy were included. Treatment strategies were initiation of GLP-1 RA or metformin between January 2006 and July 2024. The primary outcome was incident cardiomyopathy. A 1:1 propensity score-matched cohort was created, and risk differences (RD) and hazard ratios (HR) were estimated. RESULTS: Among 10,382 matched patients, cardiomyopathy risk at 18.5 years was lower among GLP-1 RA initiators than metformin initiators (0.31% vs 0.94%; RD - 0.64%, 95% CI - 0.90 to - 0.30; HR 0.43, 95% CI 0.24-0.76). Results were consistent across high-risk subgroups. CONCLUSIONS: GLP-1 RA initiation was associated with a lower risk of cardiomyopathy compared with metformin among patients with cancer and T2D, supporting a potential role for GLP-1 RA in cardio-oncology prevention strategies.",2026 Mar,41605300.0,PubMed,
Metformin-Mediated Glycaemic Regulation as a Potential Strategy for Breast Cancer Prevention.,"INTRODUCTION: Metformin, the common anti-hyperglycemic agent, is emerging with pharmacological significance as an effective anti-cancer modulator. Its efficacy as an anti-cancer modulator is reported in pre-clinical and clinical studies. Therefore, an attempt was made to identify the possible in vitro anti-cancer molecular mechanisms studied on breast cancer (BC) cell lines. METHODS: An advanced literature search was conducted in the PubMed database using search terms ""Metformin, Cell culture, Breast neoplasms."" Different anti-cancer molecular mechanisms induced by metformin (MET) identified in cell culture studies are presented in this paper. RESULTS: It was identified that MET induces molecular pathways that exert anti-cancer effects when treated on BC cells. Inhibition of oxidative phosphorylation, adenosine monophosphate-activated protein kinase mediated anticancer effects, anti-proliferation and inhibition of cell migration, alteration of tumor micro-environment, synergetic effects with conventional chemotherapies and other potential molecules, induced apoptosis and ferroptosis were mainly identified as MET-induced pathways that affect BC cells. CONCLUSION: Metformin induces diverse anti-cancer biochemical pathways through which it exhibits a potential to be used as an anti-cancer therapeutic in BC.",2026 Feb,41603225.0,PubMed,
The Synergistic Effects of rhArg with Bcl-2 Inhibitors or Metformin Co-Treatment in Multiple Cancer Cell Models.,"BACKGROUND: Recombinant human arginase (rhArg) has been proven to exhibit an anticancer effect via arginine starvation. To further improve the efficacy of rhArg, we examined the feasibility of a combination strategy with Bcl-2 inhibitors (ABT263 and ABT199) or an antidiabetic drug (metformin) and investigated the mechanistic basis for these strategies. METHODS: The combination effects were evaluated in a panel of human cancer cell lines modeling pancreatic ductal carcinoma (PDAC), triple-negative breast cancer (TNBC), colorectal cancer (CRC) and glioblastoma (GBM). Western blot analysis was used to evaluate the expression of apoptotic and cell cycle markers. MTT assay was used to evaluate the combination efficacy. Flow cytometric assays were used to investigate the apoptotic and cell cycle effects. RESULTS: The combination of rhArg with sublethal doses of ABT263 significantly induced dose-dependent apoptosis, with elevated expression of apoptotic markers and a CI of 0.47 in U251. The combination inhibited CDK2 and cyclin A expression, indicating that the observed synergy also resulted from cell cycle arrest. We also found that rhArg + metformin was synergistic in a time-dependent manner. Compared to other amino acid depletion agents, rhArg + ABT263 was the most favorable combination pair. CONCLUSIONS: The combination of rhArg and ABT263 enhanced apoptosis and cell cycle arrest, demonstrating a potential broad-spectrum antitumor strategy.",2026 Jan 16,41597239.0,PubMed,
Universal Antibody-Engineered Lipid Nanoparticles Potentiate Chemo-Immunotherapy Against Triple-Negative Breast Cancer by Reprogramming Tumor Cell Metabolism.,"Despite the promise of combining chemotherapy and immunotherapy for triple-negative breast cancer (TNBC), challenges remain due to targeting deficiencies and accelerated T cell exhaustion within the immunosuppressive tumor microenvironment (TME). To address these limitations, we developed a drug-encapsulated lipid nanoparticle (LNP) system to reprogram tumor metabolism and reverse acquired immune tolerance. This LNP encapsulates the cytotoxic agent monomethyl auristatin E (MA) and the immunomodulator metformin (Met), followed by conjugated to a human receptor tyrosine kinase-like orphan receptor 1 antibody (ROR1 Ab) via an acid-labile linker. ROR1 Ab-mediated active targeting enables precise tumor localization through NIR-II fluorescence imaging, and enhances chemotherapeutic efficacy while minimizing off-target toxicity. Critically, metformin incorporated into the lipid formulation inhibits both membrane and cytoplasmic PD-L1 expression and reduces TGF-beta1 levels by suppressing mitochondrial oxidative phosphorylation (OXPHOS), thereby restoring T lymphocyte activity and amplifying the immune response. This work demonstrates a novel approach to enhance TNBC treatment through targeted modulation of tumor metabolism and immune activation.",2026 Apr,41591256.0,PubMed,
