title,abstract,year,pmid,source
The association of metformin and aspirin intake with mammographic breast density: A cross-sectional study.,"BACKGROUND: Our purpose was to investigate the association between Mammographic breast density (MBD), a known strong marker for breast cancer and metformin and aspirin use and duration of use alone or simultaneously, in a sample of Iranian women considering other confounding factors. METHODS: In a cross-sectional study, 712 individuals were selected out of women referred to two university hospitals for screening mammography. Participants' information was collected with a questionnaire. Four-category density scale (a = almost entirely fatty, b = scattered fibroglandular densities, c= heterogeneously dense, and d = extremely dense) was categorized as low (a&b) and high (c&d) density. RESULTS: The mean age of the participants was 49.80 +/- 7.26 years. Sixty-five percent of women belonged to the high and 35% to the low MBD category. Both aspirin and metformin had a significantly negative association with MBD, however, when confounding factors were entered into the models, only aspirin after adjustment for age and BMI had an inverse association with MBD (OR = 0.53, 95% CI: 0.35-0.94). Simultaneous use of metformin and aspirin (OR = 0.44, 95 %CI: 0.17-1.12) was associated with lower MBD. Furthermore, in women who used metformin (OR = 0.23, 95% CI: 0.09-0.62) and aspirin (OR= 0.35, 95% CI: 0.17-0.72) for 2 to 5 years, MBD was significantly lower. However, after the adjustment of confounding factors, these associations were not statistically significant. CONCLUSION: It seems metformin and aspirin intakes are associated with MBD. However, further studies with more sample size are needed.",2023 Fall,38024179,PubMed
Metformin Caused Radiosensitivity of Breast Cancer Cells through the Expression Modulation of miR-21-5p/SESN1axis.,"OBJECTIVE: In this research we evaluated molecular mechanism of effect of metformin in radio sensitivity of breast cancer cells. METHODS: This research was done in cellular and molecular research center of Qazvin university of Medical science in 1399 to 1401. Studied samples were two breast cancer cell lines (MCF-7 and MDA-MB-231) they are derived from primary and secondary tumors resected from a single patient. We exposed them to cumulative 50 Gy radiation and constructed radio resistant cell lines. Then resistant cell lines were treated with 50microm of metformin. Our studied groups were resistant cells treated and un treated with metformin. Then, the expression rate of miR-21-5p and SESN1 gene in resistant and control cells was checked by Quantitative Real-time PCR(qRTPCR). After the cell lines were treated with different concentrations of metformin at different intervals, the rate of cell proliferation and cell death was checked by CCK-8 assay and flow cytometry. The Western blot method was also used to confirm the expression of some genes. RESULTS: Our results showed that the expression of miR-21-5p was upregulated in radiation-resistant cancer cells (1.8+/-0.65) (P<0.0001) MCF-7 cell line and (1.6+/-0.42)(P<0.001) MBA-MD-231 cell line, while the expression of SESN1 was down regulated (0.46+/-0.12) (P<0.0001) MCF-7 cell line and (0.42+/-0.22) (P<0.001) MBA-MD-231 cell line. Metformin enhanced the radio sensitivity of breast cancer cells in a dose and time-dependent manner. Also, metformin treatment decreased the expression of miR-21-5p (0.47+/-0.32) (P<0.0001) MCF-7 Cell line and (0.45+/-0.21)(P<0.001) MBA-MD-231 cell line and increased the expression of SESN1 (1.65+/-0.72)(P<0.0001)MCF-7 cell line and (1.73+/-0.52)(P<0.0001) MBA-MD-231 cell line. The function of metformin was reversed by miR-21-5p inhibitors or the transfection of SESN1 overexpressing plasmids. CONCLUSION: In conclusion, based on this research results, metformin enhanced the radio sensitivity of breast cancer cells via modulating  the expression of miR-21-5p and SESN1.",2023 Nov 1,38019229,PubMed
"Chronic treatment with TNF-alpha, alone and in combination with Takinib, SB203580 and metformin induce cell death in breast cancer.","Breast cancer (BC) is the most common malignancy, and the largest cause of cancer death among women. The interactions between tumor cells and tumor micro environmental factors have a major impact on tumor progression. One of the critical pro-inflammatory cytokines present in breast cancer tumor microenvironment is TNF-alpha. The aim of this study was to evaluate the long-term effect of TNF-alpha (1 week) along with p38 or TAK1 inhibitors as well as metformin on induction of cellular death, cancer stem cell and expression of metastatic marker CXCR4. MCF-7 and MDA-MB-231 cells were treated with TNF-alpha for one week and then were treated with combination of Takinib, SB203580 or Metformin; after all treatments were done, cell proliferation, cellular death, surface expression of CXCR4, CD44 and CD24 were determined. The results showed that treatment with TNF-alpha alone or in combination with Takinib, SB203580 and metformin elevated induction of cellular death in both cell lines compared to the control group. TNF-alpha also increased CXCR4 expression in MCF-7 cells, but it reduced its expression in the MDA-MB-231 cells. Also, breast cancer stem cells (BCSCs) population decreased in MDA-MB-231 cells treated with TNF-alpha alone or in combination with SB203580 and metformin. Although, in MCF-7 cells only combination of TNF-alpha and Takinib reduced BCSCs population in a time dependent manner. Altogether, we showed that TNF-alpha alone or in combination with other treatments can affect the progression of breast cancer.",2023 Nov,37964831,PubMed
"The Effect of BI 730357 (Retinoic Acid-Related Orphan Receptor Gamma t Antagonist, Bevurogant) on the Pharmacokinetics of a Transporter Probe Cocktail, Including Digoxin, Furosemide, Metformin, and Rosuvastatin: An Open-Label, Non-randomized, 2-Period Fixed-Sequence Trial in Healthy Subjects.","Evaluating Drug-Drug Interactions (DDIs) for new investigational compounds requires several trials evaluating different drugs with different transporter specificities. By using a cocktail of drugs with different transporter specificities, a single trial could evaluate the pharmacokinetics (PKs) of each cocktail drug simultaneously, reducing the number of clinical DDI trials required for clinical development. We aimed to investigate the effect of steady-state Boehringer Ingelheim (BI) 730357 (bevurogant) on the PKs of a validated and optimized 4-component transporter cocktail. This open-label, non-randomized, 2-period fixed-sequence phase I trial compared transporter cocktail (0.25 mg digoxin/1 mg furosemide/10 mg metformin hydrochloride/10 mg rosuvastatin) with and without BI 730357 in healthy subjects aged 18-55 years with body mass index 18.5-29.9 kg/m(2) . During reference treatment/period 1, transporter cocktail was administered 90 minutes after breakfast. After a washout period, during test treatment/period 2, BI 730357 was dosed twice daily for 13 days, with transporter cocktail administered on day 1. The primary endpoints were the area under the concentration-time curve of the analyte in plasma over the time interval from 0 extrapolated to infinity (AUC(0-infinity) ) and the maximum measured concentration of the analyte in plasma (C(max) ), and the secondary endpoint was the area under the concentration-time curve of the analyte in plasma over the time interval from 0 to the last quantifiable data point (AUC(0-tz) ). Steady-state BI 730357 increased digoxin (+48% to +94%), minimally affected metformin (-2% to -9%), furosemide (+12% to +18%), and rosuvastatin (+19% to +39%) exposure. Therefore, no clinically relevant inhibition of transporters OCT2/MATE-1/MATE-2K, OAT1/OAT3, OATP1B1/OATP1B3 was observed. Potential inhibition of breast cancer resistance protein noted as PK parameters of coproporphyrin I/III (OATP1B1/OATP1B3 biomarkers) remained within bioequivalence boundaries while rosuvastatin PK parameters (AUC(0-infinity) /C(max) /AUC(0-tz) ) exceeded the bioequivalence boundary. BI 730357 was safe and well tolerated. This trial confirms the usefulness and tolerability of the transporter cocktail consisting of digoxin, furosemide, metformin, and rosuvastatin in assessing drug-transporter interactions in vivo.",2024 Feb,37960990,PubMed
[Metformin mitigates doxorubicin-induced cardiotoxicity via the AMPK pathway].,"OBJECTIVE: To explore whether metformin reduces cardiotoxicity of doxorubicin through the AMPK pathway. METHODS: We analyzed the data of 123 patients with myeloid leukemia, non-Hodgkin's lymphoma, or breast cancer receiving doxorubicin for phased chemotherapy, including 43 patients receiving combined treatment with metformin (test group) and 80 without metformin treatment (control group). The changes in plasma levels of CK-MB, LDH, and BNP, left ventricular ejection fraction (EF) and left ventricular fractional shortening (FS) of the patients were observed. The effect of treatments with metformin and doxorubicin, alone or in combination, on myocardial damage, cardiac function and myocardial cell apoptosis were also observed in C57BL/6 mice with AMPKalpha2 gene knockout (AKO). RESULTS: CK-MB, LDH and BNP levels increased and EF and FS decreased significantly in the control group after chemotherapy (P<0.05). In the test group, CK-MB, LDH and BNP levels were significantly lowered after the combined treatment (P<0.05), while EF and FS did not undergo obvious changes (P>0.05). CK-MB, LDH and BNP levels were lower and EF and FS were higher significantly in the test group than in the control group after the treatment (P<0.05). Doxorubicin treatment reduced FS in both wild-type and AKO mice, but the reduction was less obvious in AKO group (P<0.05). The combined treatment restored FS in wild-type mice (P<0.05) but not in AKO mice. Doxorubicin significantly increased LDH and cTnI levels in both wild-type and AKO mice, but with smaller increments in the latter (P<0.05); The combined treatment with metformin reduced doxorubicin-induced elevation of LDH and cTnI levels in the wild-type mice (P<0.05) but not in AKO group (P>0.05). Doxorubicin increased myocardial cell apoptosis in both mice (P<0.01) but less strongly in AKO mice (P<0.05). CONCLUSION: Chemotherapy with doxorubicin causes cardiotoxicity, which can be mitigated by combined treatment with metformin possibly through a mechanism involving the AMPK pathway.",2023 Oct 20,37933643,PubMed
Breast adipose tissue-derived extracellular vesicles from obese women alter tumor cell metabolism.,"Breast adipose tissue is an important contributor to the obesity-breast cancer link. Extracellular vesicles (EVs) are nanosized particles containing selective cargo, such as miRNAs, that act locally or circulate to distant sites to modulate target cell functions. Here, we find that long-term education of breast cancer cells with EVs obtained from breast adipose tissue of women who are overweight or obese (O-EVs) results in increased proliferation. RNA-seq analysis of O-EV-educated cells demonstrates increased expression of genes involved in oxidative phosphorylation, such as ATP synthase and NADH: ubiquinone oxidoreductase. O-EVs increase respiratory complex protein expression, mitochondrial density, and mitochondrial respiration in tumor cells. The mitochondrial complex I inhibitor metformin reverses O-EV-induced cell proliferation. Several miRNAs-miR-155-5p, miR-10a-3p, and miR-30a-3p-which promote mitochondrial respiration and proliferation, are enriched in O-EVs relative to EVs from lean women. O-EV-induced proliferation and mitochondrial activity are associated with stimulation of the Akt/mTOR/P70S6K pathway, and are reversed upon silencing of P70S6K. This study reveals a new facet of the obesity-breast cancer link with human breast adipose tissue-derived EVs causing metabolic reprogramming of breast cancer cells.",2023 Dec 6,37929643,PubMed
Niosomal Delivery of Celecoxib and Metformin for Targeted Breast Cancer Treatment.,"Breast cancer continues to be a prominent worldwide health concern and requires continued investigation into innovative therapeutic approaches. Here, we report the first investigation into the therapeutic efficacy of combining Metformin (MET) and Celecoxib (CXB), both in free and niosomal form, for the treatment of breast cancer. Our investigation encompassed the characterization of these niosomal drug carriers, their stability assessment, and their effect on breast cancer cell models. The thin-film hydration technique was employed to prepare niosomes with spherical, uniform-size distributions and high encapsulation efficiencies. The niosomes were characterized by TEM, particle size analyzer, and ATR-FTIR. The niosomes with an average size of 110.6 +/- 0.6 and 96.7 +/- 0.7, respectively, for MET and CXB were stable when stored at 4  degrees C for three months with minimal drug leakage, minor changes in encapsulation efficiency and size, and unchanged physicochemical parameters. Evaluation in two-dimensional (2D) and three-dimensional (3D) viability assays demonstrated an increased cytotoxicity of encapsulated drugs when compared to their free-drug counterparts. Additionally, the combination of Metformin Niosomal Particles (MET NPs) and Celecoxib Niosomal Particles (CXB NPs) led to decreased cell viability in both 2D and 3D models compared to each drug administered individually. When comparing the effect of the niosomal versus the free combination of the drugs on cell migration, we found that both interventions effectively prevented cell migration. However, the efficacy of the niosomes' combination was not superior to that of the free drug combination (p < 0.05). In conclusion, the results of this study provide valuable insights into the potential application of combining MET and CXB nanoparticle delivery systems to breast cancer treatment. Exploring the in vivo application of this drug delivery system could open new avenues for more effective and targeted therapeutic approaches for breast cancer patients.",2023 Oct 16,37894371,PubMed
Regulation of Protein-Induced Apoptosis and Autophagy in Human Hepatocytes Treated with Metformin and Paclitaxel In Silico and In Vitro.,"Metformin and paclitaxel therapy offer promising outcomes in the treatment of liver cancer. Combining paclitaxel with metformin enhances treatment effectiveness and mitigates the adverse effects associated with paclitaxel alone. This study explored the anticancer properties of metformin and paclitaxel in HepG2 liver cancer cells, MCF-7 breast cancer cells, and HCT116 colon cancer cells. The results demonstrated that the combination of these agents exhibited a lower IC50 in the tested cell lines compared to paclitaxel monotherapy. Notably, treating the HepG2 cell line with this combination led to a reduction in the G0/G1 phase and an increase in the S and G2/M phases, ultimately triggering early apoptosis. To further investigate the interaction between the cellular proteins with paclitaxel and metformin, an in silico study was conducted using proteins chosen from a protein data bank (PDB). Among the proteins studied, AMPK-alpha, EGFRK, and FKBP12-mTOR exhibited the highest binding free energy, with values of -11.01, -10.59, and -15.63 kcal/mol, respectively, indicating strong inhibitory or enhancing effects on these proteins. When HepG2 cells were exposed to both paclitaxel and metformin, there was an upregulation in the gene expression of AMPK-alpha, a key regulator of the energy balance in cancer growth, as well as apoptotic markers such as p53 and caspase-3, along with autophagic markers including beclin1 and ATG4A. This combination therapy of metformin and paclitaxel exhibited significant potential as a treatment option for HepG2 liver cancer. In summary, the combination of metformin and paclitaxel not only enhances treatment efficacy but also reduces side effects. It induces cell cycle alterations and apoptosis and modulates key cellular proteins involved in cancer growth, making it a promising therapy for HepG2 liver cancer.",2023 Sep 30,37893061,PubMed
Metformin use is associated with longer survival in glioblastoma patients with MGMT gene silencing.,"PURPOSE: New treatments are needed to improve the overall survival of patients with glioblastoma Metformin is known for anti-tumorigenic effects in cancers, including breast and pancreas cancers. In this study, we assessed the association between metformin use and overall survival in glioblastoma patients. METHODS: We retrospectively studied 241 patients who underwent surgery at diagnosis of glioblastoma between 2014 and 2018. Metformin was used for pre-existing type 2 diabetes mellitus or in the prevention or management of glucocorticoid induced hyperglycemia. Kaplan-Meier curves and log-rank p test were used for univariate analysis. Cox-proportional hazards model was used to generate adjusted hazard ratios for multivariate analysis. RESULTS: Metformin use was associated with longer survival in patients with tumors that had a methylated O6-methylguanine DNA methyltransferase gene (MGMT) promoter (484 days 95% CI: 56-911 vs. 394 days 95% CI: 249-538, Log-Rank test: 6.5, p = 0.01). Cox regression analysis shows that metformin associates with lower risk of death at 2 years in patients with glioblastoma containing a methylated MGMT promoter (aHR = 0.497, 95% CI 0.26-0.93, p = 0.028). CONCLUSION: Our findings suggest a survival benefit with metformin use in patients with glioblastomas having methylation of the MGMT promoter.",2023 Oct,37889443,PubMed
The Relationship between Metformin Consumption and Cancer Risk: An Updated Umbrella Review of Systematic Reviews and Meta-Analyses.,"BACKGROUND: Considering that metformin is widely used in the treatment of diabetes, and its protective role against various malignancies, the strength and validity of the available evidence from related systematic reviews and meta-analysis were evaluated. METHODS: Scopus, PubMed, Embase, Cochrane, Web of science databases, and Google Scholar and manual screening of retrieved references were systematically searched from their inception dates to 24 March 2020 by extracting the effect size (Odds ratios (OR) and relative risk (RR) in each study. To present the forest plot of effect of metformin on each cancer, Stata version 14.2 was used. RESULTS: This study included 36 meta-analysis studies and 620 original research studies (26 randomized control trials studies and 594 observational studies (cohort, case-control)) covering 15 different cancers. Overall, metformin medication prevented different cancers, including ovarian cancer (OR = 0.76, 95% CI: 0.62,0.93), cervical cancer (OR = 0.60, 95% CI: 0.43, 0.83), endometrial cancer (OR = 1.05, 95% CI: 0.82,1.35), liver cancer (OR = 0.59, 95% CI: 0.47,0.74), pancreatic cancer (OR = 0.59, 95%CI 0.50,0.69), head and neck cancer (OR = 0.71, 95% CI: 0.61,0.83), stomach cancer (OR = 0.72, 95% CI: 0.26,1.99), colorectal cancer (OR = 0.73, 95% CI: 0.59,0.91), colorectal adenoma cancer (OR = 0.75, 95% CI: 0.65,0.86), colon cancer (OR = 0.79, 95% CI: 0.69,0.91), esophagus cancer (OR = 0.90, 95% CI: 0.83,0.98), lung cancer (OR = 0.92, CI95%:0.85,0.99), breast cancer (OR = 0.93, 95% CI: 0.84,1.02), prostate cancer (OR = 0.94, 95% CI: 0.85-1.04), and bladder cancer (OR = 0.94 95% CI: 0.64,1.38). CONCLUSIONS: Treatment with metformin can significantly decrease the chance of all cancers with larger preventive effect on hepatocellular carcinoma and smaller preventive effect on lung and breast cancers.",2023,37854987,PubMed
Honokiol inhibits the growth of hormone-resistant breast cancer cells: its promising effect in combination with metformin.,"BACKGROUND AND PURPOSE: Primary and metastatic breast cancers still represent an unmet clinical need for improved chemotherapy and hormone therapy. Considerable attention has been paid to natural anticancer compounds, especially lignans. The study aimed to evaluate the activity of several lignans against breast cancer cells and assess the effect of leading lignans on signaling pathways in combination with metformin. EXPERIMENTAL APPROACH: Human breast cancer cell lines MCF7 (hormone-dependent), MDA-MB-231, and SKBR3 (hormone-independent) were used. A hormone-resistant MCF7/hydroxytamoxifen (HT) subline was obtained by long-term cultivation of the MCF7 line with hydroxytamoxifen. Antiproliferative activity was assessed by the MTT test; the expression of signaling pathway proteins was evaluated by immunoblotting analysis. FINDINGS/RESULTS: We evaluated the antiproliferative activity of lignans in breast cancer cells with different levels of hormone dependence and determined the relevant IC(50) values. Honokiol was chosen as the leading compound, and its IC(50) ranged from 12 to 20 muM, whereas for other tested lignans, the IC(50) exceeded 50 muM. The accumulation of cleaved PARP and a decrease in the expression of Bcl-2 and ERalpha in MCF7/HT were induced following the combination of honokiol with metformin. CONCLUSIONS AND IMPLICATIONS: Honokiol demonstrated significant antiproliferative activity against both hormone-dependent breast cancer cells and lines with primary and acquired hormone resistance. The combination of honokiol with metformin is considered an effective approach to induce death in hormone-resistant cells. Honokiol is of interest as a natural compound with antiproliferative activity against breast cancers, including resistant tumors.",2023 Sep-Oct,37842518,PubMed
Susceptibility of various human cancer cell lines to nanosecond and microsecond range electrochemotherapy: Feasibility of multi-drug cocktails.,"Electrochemotherapy (ECT) involves combining anticancer drugs with electroporation, which is induced by pulsed electric fields (PEFs), while the effects vary in effectiveness based on the specific parameters of the electrical pulses and susceptibility of the cells to a specific drug. In this work, we utilized conventional microsecond electroporation protocols (0.8 - 1.5 kV/cm x 100 mus x 8, 1 Hz) and the new modality of nanosecond pulses (4 and 8 kV/cm x 500 ns x 100, 1 kHz and 1 MHz), which are compressed into a high frequency burst. Sensitive and resistant lung, breast and ovarian human cancer cell lines were used in the study. In order to overcome drug-resistance, we have investigated the feasibility to use anticancer drug cocktails i.e., bleomycin and cisplatin combinations with metformin, vinorelbine and Dp44mT. The different susceptibility of various human cancer cells lines to electric pulses was determined, the efficacy of ECT was characterized and the type of cell death depending on the combinations of drugs was investigated. The results indicate that synergistic effects of PEFs with drug cocktails may be used to overcome drug-resistance in cancer, while the application of nsPEF provides more flexibility in parametric protocols and modulation of cancer cell death.",2023 Nov 5,37802257,PubMed
The Effect of Different Glucose Concentrations on the Antiproliferative Activity of Metformin in MCF-7 Breast Cancer Cells.,"The glucose-lowering drug metformin has been reported to have anticancer properties through unknown mechanisms. Other unknown factors that may influence its anticancer potential include the glycemic status of the patient. Therefore, the objective of this study is to determine the effect of different glucose environments on the antiproliferative potency and the cellular mechanism of action of metformin. Human breast cancer cells, MCF-7, were incubated in low, normal, elevated, and high glucose environments and treated with metformin. The antiproliferative potential of metformin and its effect on protein expression as well as its ability to induce cellular apoptosis and autophagy under different glucose environments, were determined using different molecular techniques. Metformin significantly inhibited cellular proliferation in a time- and glucose-concentration-dependent manner. In comparison to elevated glucose, low normal glucose alone induced a significant level of autophagy that was further increased in the presence of metformin. While glucose concentration did not appear to have an effect on the antiproliferative potency of metformin, the cellular basis of action was shown to be glucose-dependent. The antiproliferative mechanism of action of metformin in elevated and low normal glucose environments is mTOR-dependent, whereas, in the high glucose environment, the antiproliferative mechanism is independent of mTOR. This is the first study to report that both the antiproliferative potency and the cellular mechanism of action aredependent on the concentration of glucose.",2023 Aug 23,37765157,PubMed
Evaluating [(18)F]FDG and [(18)F]FLT Radiotracers as Biomarkers of Response for Combined Therapy Outcome in Triple-Negative and Estrogen-Receptor-Positive Breast Cancer Models.,"Breast cancer (BC) is the most frequent cancer and the second leading cause of death in women. A typical feature of BC cells is the metabolic shift toward increased glycolysis, which has become an interesting therapeutic target for metabolic drugs such as metformin (MET). Recently, the administration of the antihypertensive syrosingopine (SYRO) in combination with MET has shown a synergistic effect toward a variety of cancers. However, a fundamental need remains, which is the development of in vivo biomarkers that are able to detect early clinical response. In this study, we exploited a triple-negative murine BC cell line (4T1) and a metastatic ER+ murine BC cell line (TS/A) in order to investigate, in vivo, the early response to treatment, based on MET and/or SYRO administration, evaluating [(18)F]FDG and [(18)F]FLT as potential biomarkers via PET/CT. The study provides evidence that SYRO plus MET has a synergistic effect on tumor growth inhibition in both 4T1 and TS/A experimental models and has showed the highest efficacy on the TNBC xenograft mice (4T1) via the expression reduction in the lactate transporter MCT4 and in the epithelial-mesenchymal transition biomarker Snail, promoting its potential application in therapy settings. In addition, the selective reduction in the [(18)F]FLT tumor uptake (at 7 dd), observed in the SYRO plus MET treated mice in comparison with the vehicle group, suggests that this radiotracer could be potentially used as a biomarker for the early detection of therapy response, in both evaluated xenografts models.",2023 Sep 15,37762429,PubMed
Inhibition of Dipeptidyl Peptidase-4 Activates Autophagy to Promote Survival of Breast Cancer Cells via the mTOR/HIF-1alpha Pathway.,"Autophagy plays a complex role in breast cancer cell survival, metastasis, and chemotherapeutic resistance. Dipeptidyl peptidase (DPP)-4, a therapeutic target for type 2 diabetes mellitus, is also involved in autophagic flux. The potential influence of DPP-4 suppression on cancer biology remains unknown. Here, we report that DPP-4 deficiency promotes breast cancer cell survival via the induction of autophagy by the C-X-C motif chemokine 12 (CXCL12)/C-X-C receptor 4 (CXCR4)/mammalian target of rapamycin (mTOR)/hypoxia inducible factor (HIF)-1alpha axis. DPP-4 knockdown and DPP-4 inhibitor KR62436 (KR) treatment both increased the levels of LC3II and HIF-1alpha in cultured human breast and mouse mammary cancer cells. The KR-induced autophagic phenotype in cancer cells was inhibited by treatment with the CXCR4 inhibitor AMD3100 and rapamycin. HIF-1alpha knockdown also suppressed breast cancer autophagy induced by KR. The autophagy inhibitor 3-methyladenine significantly blocked the KR-mediated suppression of cleaved caspase-3 levels and apoptosis in breast cancer cell lines. Finally, we found that the metformin-induced apoptosis of DPP-4-deficient 4T1 mammary cancer cells was associated with the suppression of autophagy. Our findings identify a novel role for DPP-4 inhibition in the promotion of breast cancer survival by inducing CXCL12/CXCR4/mTOR/HIF-1alpha axis-dependent autophagy. Metformin is a potential drug that counteracts the breast cancer cell survival system.",2023 Sep 12,37760498,PubMed
AMPK-Dependent YAP Inhibition Mediates the Protective Effect of Metformin against Obesity-Associated Endothelial Dysfunction and Inflammation.,"Hyperglycemia is a crucial risk factor for cardiovascular diseases. Chronic inflammation is a central characteristic of obesity, leading to many of its complications. Recent studies have shown that high glucose activates Yes-associated protein 1 (YAP) by suppressing AMPK activity in breast cancer cells. Metformin is a commonly prescribed anti-diabetic drug best known for its AMPK-activating effect. However, the role of YAP in the vasoprotective effect of metformin in diabetic endothelial cell dysfunction is still unknown. The present study aimed to investigate whether YAP activation plays a role in obesity-associated endothelial dysfunction and inflammation and examine whether the vasoprotective effect of metformin is related to YAP inhibition. Reanalysis of the clinical sequencing data revealed YAP signaling, and the YAP target genes CTGF and CYR61 were upregulated in aortic endothelial cells and retinal fibrovascular membranes from diabetic patients. YAP overexpression impaired endothelium-dependent relaxations (EDRs) in isolated mouse aortas and increased the expression of YAP target genes and inflammatory markers in human umbilical vein endothelial cells (HUVECs). High glucose-activated YAP in HUVECs and aortas was accompanied by increased production of oxygen-reactive species. AMPK inhibition was found to induce YAP activation, resulting in increased JNK activity. Metformin activated AMPK and promoted YAP phosphorylation, ultimately improving EDRs and suppressing the JNK activity. Targeting the AMPK-YAP-JNK axis could become a therapeutic strategy for alleviating vascular dysfunction in obesity and diabetes.",2023 Aug 28,37759984,PubMed
"Incidence, risk factors, and management of alpelisib-associated hyperglycemia in metastatic breast cancer.","PURPOSE: The combination of fulvestrant with alpelisib, a PI3K inhibitor, improves progression-free survival in metastatic hormone receptor-positive, PIK3CA-mutant breast cancer. This study describes the incidence, risk factors, and treatment of alpelisib-associated hyperglycemia. METHODS: Patients with metastatic breast cancer who received alpelisib from 2013 to 2021 at Memorial Sloan Kettering Cancer Center were included in this retrospective study. Alpelisib prescription dates and patient/tumor characteristics were abstracted from medical records. Risk factors associated with hyperglycemia and alpelisib dose reduction/discontinuation were evaluated using Pearson's chi(2) tests. RESULTS: Among 247 patients, baseline median body mass index was 25.4 kg/m(2) and median hemoglobin A1c (HbA1c) was 5.5%. A total of 152 patients (61.5%) developed any-grade hyperglycemia and 72 patients (29.2%) developed grade 3-4 hyperglycemia; median time to onset was 16 days. A total of 100 patients (40.5%) received alpelisib on a clinical trial; rates of hyperglycemia were significantly higher in patients treated as standard care versus on a clinical trial (any-grade hyperglycemia 80.3% vs. 34.0%, grade 3-4 hyperglycemia 40.2% vs. 13.0%, p < .001). Baseline HbA1c was significantly associated with development of hyperglycemia (p < .001) and alpelisib dose reduction/discontinuation (p = .015). Among those who developed hyperglycemia, 101 (40.9%) received treatment, most commonly with metformin. A total of 49 patients (19.8%) were referred to an endocrinologist, which was associated with SGLT2 inhibitor prescription (p = .007). CONCLUSIONS: Rates of hyperglycemia among patients treated with alpelisib as standard care were significantly higher than patients treated on clinical trials. Elevated baseline HbA1c is associated with alpelisib-induced hyperglycemia and requiring dose modification. Optimization of glycemic status before alpelisib initiation should become routine practice.",2023 Dec 15,37743730,PubMed
Biguanide-anchored albumin-based nanoplatform inhibits epithelial-mesenchymal transition and reduces the stemness phenotype for metastatic cancer therapy.,"In clinical chemotherapy, albumin-bound paclitaxel (Abraxane) can improve the tumor targeting property and therapeutic efficacy of paclitaxel (PTX) against orthotopic malignancies. However, patients with metastatic cancer have a poor prognosis, probably due to the instability, chemoresistance, and inability of albumin-bound paclitaxel to alter the tumor microenvironment. Here we propose a new biguanide-modified albumin-based nanoplatform that encapsulates paclitaxel for the effective treatment of metastatic cancer. The PTX is encapsulated in poly (lactic-co-glycolic acid) cores coated with biguanide-modified albumin (HSA-NH). The functionalized nanoparticles (HSA-NH NPs) exhibit a remarkable stable profile with low drug release (P < 0.05 versus Abraxane), target tumor tissues, suppress epithelial-mesenchymal transition (EMT) events for anti-metastatic effects, and reduce the phenotype of cancer stem cells. As a result, HSA-NH NPs effectively prolong animal survival (55 days) by inhibiting not only primary tumor growth but also metastasis. This study provides proof of concept that the biguanide-anchored albumin-based nanoplatform encapsulating PTX is a powerful, safe, and clinically translational strategy for the treatment of metastatic cancer. STATEMENT OF SIGNIFICANCE: Albumin-bound paclitaxel (Abraxane) can increase paclitaxel's tumor targeting and therapeutic efficacy in clinical cancer treatments such as breast cancer. However, the instability, chemoresistance, and lack of tumor microenvironment modulation of albumin-bound paclitaxel may lead to poor therapeutic efficacy in metastatic cancer patients. Here we develop biguanide-anchored albumin-based nanoplatforms that encapsulate paclitaxel (HSA-NH NPs) for metastatic cancer treatment. Poly(lactic-co-glycolic acid) (PLGA) cores encapsulating paclitaxel improve the stability of HSA-NH NPs. Based on the activities of metformin, biguanide-anchored albumin adsorbed on PLGA cores improves paclitaxel efficacy, inhibits various aberrant changes during epithelial-mesenchymal transition, and reduces tumor cell stemness. The biguanide-anchored albumin-based nanoplatform encapsulating PTX can serve as a potent, safe, and clinically translational approach for metastatic cancer therapies.",2023 Nov,37716479,PubMed
